tower-0, 2014-10-22, 00:00:02, 0, 1029, 88, 0
tower-0, 2014-10-22, 00:00:08, 0, 10298, 77, 0
tower-0, 2014-10-22, 00:00:25, 0, 9322, 176, 0
tower-0, 2014-10-22, 00:00:41, 0, 2678, 181, 2
tower-0, 2014-10-22, 00:00:55, 0, 7883, 203, 2
tower-0, 2014-10-22, 00:02:04, 0, 12131, 236, 1
tower-0, 2014-10-22, 00:02:07, eagle-74, 1222, 170, 3
tower-0, 2014-10-22, 00:02:15, eagle-207, 11132, 136, 3
tower-0, 2014-10-22, 00:02:29, 0, 10582, 108, 0
tower-0, 2014-10-22, 00:02:36, eagle-41, 13722, 91, 3
tower-0, 2014-10-22, 00:04:01, parrot-64, 4677, 159, 1
tower-0, 2014-10-22, 00:04:18, 0, 8268, 61, 3
tower-0, 2014-10-22, 00:05:02, 0, 7423, 228, 0
tower-0, 2014-10-22, 00:05:19, seagull-121, 11846, 257, 2
tower-0, 2014-10-22, 00:05:33, hawk-158, 12174, 114, 1
tower-0, 2014-10-22, 00:05:38, eagle-200, 5715, 280, 0
tower-0, 2014-10-22, 00:06:57, hawk-431, 7868, 185, 2
tower-0, 2014-10-22, 00:07:34, seagull-423, 5789, 187, 3
tower-0, 2014-10-22, 00:07:42, seagull-65, 11542, 225, 1
tower-0, 2014-10-22, 00:08:10, 0, 10298, 77, 0
tower-0, 2014-10-22, 00:08:30, 0, 4144, 27, 2
tower-0, 2014-10-22, 00:09:27, sparrow-186, 7225, 236, 0
tower-0, 2014-10-22, 00:09:30, 0, 6769, 197, 0
tower-0, 2014-10-22, 00:09:40, 0, 9449, 257, 0
tower-0, 2014-10-22, 00:09:46, 0, 10783, 224, 2
tower-0, 2014-10-22, 00:11:08, seagull-460, 14484, 129, 2
tower-0, 2014-10-22, 00:11:56, sparrow-224, 2524, 255, 1
tower-0, 2014-10-22, 00:12:11, seagull-356, 11360, 113, 2
tower-0, 2014-10-22, 00:12:16, parrot-86, 5749, 204, 1
tower-0, 2014-10-22, 00:13:17, hawk-159, 3707, 11, 0
